key,value
delivery_ratio,1.0
avg_latency,0.028814077666729613
duplicates,0
total_energy_j,1.3229182146666665

topic_publish_counts
topic,count
sensors/humidity,13
sensors/temp,13

topic_delivery_stats
topic,delivered,avg_latency
sensors/humidity,13,0.03209139149778127
sensors/temp,13,0.025536763835677958

topic_rates_msgs_per_sec
topic,msgs_per_sec
sensors/temp,0.6666666666666666
sensors/humidity,0.6666666666666666

queue_depth_history
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

failover_info
last_start,
last_end,

nodes
id,type,state,battery,protocol,x,y,energy_j
Gate_681,Gateway,active,100,wifi,250,250,0.0
Lapt_420,Sensor,active,99,wifi,280,250,0.6614591073333332
iPho_725,Sensor,active,99,wifi,200,220,0.6614591073333332
